Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
PythonComplexityInfoProvider.PythonComplexityInfoProvider.isClassWithBody(PsiElement);0;0;1,0;2;0;4,2;203,4146;0,0115;14;11;48,432;1;0,0;0;88,1347;0;2;1;0;1
PythonComplexityInfoProvider.PythonComplexityInfoProvider.isComplexitySuitableMember(PsiElement);0;0;1,0;2;0;5,1429;341,5739;0,0163;17;15;66,4171;1;0,0;0;87,1118;0;3;1;0;1
PythonLanguageVisitor.PythonLanguageVisitor.<init>(ComplexitySink);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
PythonLanguageVisitor.PythonLanguageVisitor.calculateBinaryComplexity(MutableList<PyElementType>);17;3;0,5;9;0;20,5833;15370,7361;0,2061;133;49;746,7564;18;0,75;1;52,1683;4;12;5;1;2
PythonLanguageVisitor.PythonLanguageVisitor.isDecorator();0;0;1,0;1;0;3,5714;230,4619;0,0125;18;12;64,5293;1;1,0;0;87,2599;0;2;1;0;1
PythonLanguageVisitor.PythonLanguageVisitor.isRecursion();3;1;0,8571;7;0;7,0714;1375,4859;0,0412;43;23;194,5132;4;0,25;0;70,631;1;5;2;0;1
PythonLanguageVisitor.PythonLanguageVisitor.postProcess(PsiElement);3;1;1,0;2;0;10,1538;2542,1382;0,0621;57;21;250,3621;9;1,0;0;62,0982;1;9;2;0;1
PythonLanguageVisitor.PythonLanguageVisitor.processElement(PsiElement);21;2;0,1875;16;0;15,1667;12314,7814;0,1778;147;46;811,9636;14;0,4762;0;54,2483;2;17;2;0;1
PythonLanguageVisitor.PythonLanguageVisitor.shouldVisitElement(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;1;1;0,0;1;0,0;0;∞;0;1;0;0;1
PythonLanguageVisitor.PythonLanguageVisitor.toPointType();3;1;0,4;5;0;2,0625;142,7016;0,0091;20;11;69,1886;4;0,0;0;73,8046;1;4;1;0;1
SettingsBundle.SettingsBundle.message(String, Any);0;0;0,0;0;0;1,0;11,6096;0,0017;5;5;11,6096;1;0,0;0;92,7082;0;1;2;0;2
SettingsBundle.SettingsBundle.messagePointer(String, Any);0;0;0,0;0;0;1,0;11,6096;0,0017;5;5;11,6096;1;0,0;0;92,7082;0;1;2;0;2
SettingsComponent.SettingsComponent.getMildlyComplexText();0;0;1,0;1;0;0,5;2,3774;0,0006;3;3;4,7549;1;0,5;0;95,7844;0;1;1;0;0
SettingsComponent.SettingsComponent.getShowIcon();0;0;1,0;2;0;1,5;27,1421;0,003;7;6;18,0947;1;0,5;0;91,2106;0;1;1;0;0
SettingsComponent.SettingsComponent.getShowPlainComplexity();0;0;1,0;2;0;1,5;27,1421;0,003;7;6;18,0947;1;0,5;0;91,2106;0;1;1;0;0
SettingsComponent.SettingsComponent.getSimpleComplexText();0;0;1,0;1;0;0,5;2,3774;0,0006;3;3;4,7549;1;0,5;0;95,7844;0;1;1;0;0
SettingsComponent.SettingsComponent.getSimpleLimit();0;0;1,0;1;0;0,5;2,3774;0,0006;3;3;4,7549;1;0,5;0;95,7844;0;1;1;0;0
SettingsComponent.SettingsComponent.getUseDefaults();0;0;1,0;2;0;1,5;27,1421;0,003;7;6;18,0947;1;0,5;0;91,2106;0;1;1;0;0
SettingsComponent.SettingsComponent.getVeryComplexLimit();0;0;1,0;1;0;0,5;2,3774;0,0006;3;3;4,7549;1;0,5;0;95,7844;0;1;1;0;0
SettingsComponent.SettingsComponent.getVeryComplexText();0;0;1,0;1;0;0,5;2,3774;0,0006;3;3;4,7549;1;0,5;0;95,7844;0;1;1;0;0
SettingsComponent.SettingsComponent.setMildlyComplexText(String);0;0;1,0;1;0;1,25;25,8496;0,0029;8;6;20,6797;1;0,5;0;90,8902;0;1;3;0;1
SettingsComponent.SettingsComponent.setShowIcon(Boolean);0;0;1,0;1;0;2,0;41,3594;0,004;8;6;20,6797;1;1,0;0;90,8902;0;1;2;0;1
SettingsComponent.SettingsComponent.setShowPlainComplexity(Boolean);0;0;1,0;1;0;1,5;33,6883;0,0035;8;7;22,4588;1;1,0;0;90,6003;0;1;3;0;1
SettingsComponent.SettingsComponent.setSimpleComplexText(String);0;0;1,0;1;0;1,25;25,8496;0,0029;8;6;20,6797;1;0,5;0;90,8902;0;1;3;0;1
SettingsComponent.SettingsComponent.setSimpleLimit(Int);0;0;1,0;1;0;1,25;25,8496;0,0029;8;6;20,6797;1;0,5;0;90,8902;0;1;2;0;1
SettingsComponent.SettingsComponent.setUseDefaults(Boolean);0;0;1,0;1;0;2,0;41,3594;0,004;8;6;20,6797;1;1,0;0;90,8902;0;1;2;0;1
SettingsComponent.SettingsComponent.setVeryComplexLimit(Int);0;0;1,0;1;0;1,25;25,8496;0,0029;8;6;20,6797;1;0,5;0;90,8902;0;1;2;0;1
SettingsComponent.SettingsComponent.setVeryComplexText(String);0;0;1,0;1;0;1,25;25,8496;0,0029;8;6;20,6797;1;0,5;0;90,8902;0;1;3;0;1
SettingsConfigurable.SettingsConfigurable.<init>(Project);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
SettingsConfigurable.SettingsConfigurable.apply();0;0;0,3;9;1;12,2727;5690,1438;0,1062;89;37;463,6413;10;0,8889;0;59,5216;1;1;2;0;0
SettingsConfigurable.SettingsConfigurable.createComponent();0;0;1,0;1;1;3,75;149,4868;0,0094;12;10;39,8631;2;0,6667;0;82,2927;0;1;1;0;0
SettingsConfigurable.SettingsConfigurable.getDisplayName();0;0;0,0;0;0;0,5;1,0;0,0003;2;2;2,0;1;0,0;0;97,8922;0;1;0;0;0
SettingsConfigurable.SettingsConfigurable.isModified();0;0;0,1765;17;2;16,7045;8615,1335;0,1401;99;37;515,7359;9;0,4706;0;59,8232;0;16;2;0;0
SettingsConfigurable.SettingsConfigurable.reset();0;0;0,2222;18;2;11,4545;4382,2164;0,0893;74;36;382,5745;10;0,1;0;60,0132;1;2;3;0;0
SettingsState.SettingsState.getState();0;0;0,0;0;0;0,5;1,0;0,0003;2;2;2,0;1;0,0;0;97,8922;0;1;1;0;0
SettingsState.SettingsState.loadState(SettingsState);0;0;1,0;1;0;1,5;29,4772;0,0032;7;7;19,6515;1;0,0;0;91,0462;0;1;2;0;1
